iter	Passed	Remaining
0	146	14523
1	151	7423
2	155	5036
3	159	3835
4	164	3116
5	168	2634
6	172	2297
7	176	2030
8	179	1817
9	182	1642
10	184	1494
11	186	1370
12	188	1264
13	191	1173
14	192	1093
15	194	1023
16	197	962
17	198	905
18	200	854
19	202	809
20	203	767
21	205	729
22	207	694
23	209	662
24	210	630
25	212	603
26	214	579
27	216	556
28	218	533
29	219	513
30	221	493
31	223	475
32	225	457
33	227	441
34	229	425
35	231	411
36	233	398
37	235	384
38	237	371
39	239	358
40	241	346
41	242	335
42	244	324
43	245	313
44	247	302
45	249	292
46	251	283
47	252	274
48	254	265
49	256	256
50	258	248
51	259	239
52	261	232
53	263	224
54	265	217
55	266	209
56	268	202
57	270	195
58	271	188
59	273	182
60	275	176
61	277	169
62	278	163
63	280	157
64	282	151
65	283	146
66	285	140
67	287	135
68	289	129
69	290	124
70	292	119
71	294	114
72	295	109
73	298	104
74	299	99
75	301	95
76	302	90
77	304	85
78	306	81
79	308	77
80	309	72
81	311	68
82	313	64
83	315	60
84	317	55
85	318	51
86	320	47
87	322	43
88	324	40
89	326	36
90	327	32
91	330	28
92	332	24
93	334	21
94	336	17
95	337	14
96	339	10
97	341	6
98	343	3
99	346	0
